"Issue Type","Epic Link","Parent","Summary","Description","Story Points","Priority","Sprint","Labels","Status"
"Epic","","","Requirements","Scope lock, UC diagrams, and user stories - everything in docs/","","","","requirements","Done"
"Epic","","","Database","Schema design and all PL/pgSQL functions in 0001_init.sql","","","","database","Done"
"Epic","","","Auth & Session Management","Login/session/RBAC for the Internal app across all 3 roles","","","","auth","To Do"
"Epic","","","Stock Intake & Transfer","UC-N1 receive lot + UC-N2 Freezer to thaw-prep transfer","","","","stock-intake","To Do"
"Epic","","","Menu & Ingredient Management","Owner CRUD for menu items/BOM/removable flags and ingredient thresholds","","","","menu-mgmt","To Do"
"Epic","","","User Management","Owner CRUD for staff/cashier accounts including is_active soft-disable","","","","user-mgmt","To Do"
"Epic","","","QR & Table Session","Cashier check-in/check-out and QR session lifecycle","","","","qr-session","To Do"
"Epic","","","Customer Ordering Flow","QR menu browse, customize, confirm, and grace period","","","","customer-flow","To Do"
"Epic","","","Stock Deduction Engine","Auto-confirm plus true FIFO deduction and UC-N12 return","","","","stock-deduction","To Do"
"Epic","","","Notifications & Alerts","UC-N7/UC-N10/UC-N11 low-stock and expiry warnings","","","","notifications","To Do"
"Epic","","","Reports & Recommendations","UC-N3/UC-N8 recommendations plus weekly cost/profit report","","","","reports","To Do"
"Epic","","","Waste Management","flag_waste_candidates review queue with confirm/reject","","","","waste","To Do"
"Epic","","","Frontend Integration","Wire existing page stubs (all 3 apps) to the real API","","","","frontend-integration","To Do"
"Epic","","","Testing & QA","End-to-end and race-condition test passes","","","","testing","To Do"
"Epic","","","Deployment & Documentation","Ship to production plus final report and demo. Stack is Supabase (Postgres) + Hono + React/Vite only - no Docker, no Cloudflare.","","","","deployment","To Do"
"Task","Requirements","","Draft initial actor list and use-case inventory","Pre-consolidation draft: Kitchen Staff, Waiter, Owner, Customer as separate actors","3","Medium","Sprint 1","requirements","Done"
"Sub-task","","Draft initial actor list and use-case inventory","List actors before consolidation","Kitchen Staff, Waiter, Owner, Customer as 4 separate roles","","","Sprint 1","requirements","Done"
"Sub-task","","Draft initial actor list and use-case inventory","Draft UC-1 through UC-8 use case names","Original numbering scheme later replaced by UC-N1-N12","","","Sprint 1","requirements","Done"
"Task","Requirements","","Draft initial 3-location storage hypothesis","Freezer / vegetable chiller / thaw-prep as three separate physical storages","3","Medium","Sprint 1","requirements","Done"
"Sub-task","","Draft initial 3-location storage hypothesis","Define purpose and temperature per location","Freezer below 0C, other two at chill temperature","","","Sprint 1","requirements","Done"
"Sub-task","","Draft initial 3-location storage hypothesis","Leave unit-of-measure question open per location","kg vs plate not yet decided at this stage","","","Sprint 1","requirements","Done"
"Task","Requirements","","Brainstorm 7 candidate AI features","Lot-matching, waste detection, serving narrative, cost summary, transfer-parsing, thaw-prep, procurement - all later cut or replaced with plain SQL","2","Low","Sprint 1","requirements","Done"
"Task","Requirements","","Merge actors and consolidate storage to 2 locations","2026-07-14 decision: Kitchen Staff+Waiter merge, Cashier actor added, chill storages merge","5","High","Sprint 2","requirements","Done"
"Sub-task","","Merge actors and consolidate storage to 2 locations","Merge Kitchen Staff and Waiter into one staff role","Single staff role, no sub-role permission split","","","Sprint 2","requirements","Done"
"Sub-task","","Merge actors and consolidate storage to 2 locations","Add Cashier actor for QR/table duties","Takes over check-in/check-out that used to sit with Staff","","","Sprint 2","requirements","Done"
"Sub-task","","Merge actors and consolidate storage to 2 locations","Consolidate chill storages into one thaw-prep location","First 2-location model attempt","","","Sprint 2","requirements","Done"
"Task","Requirements","","Clean up stale terminology and lock grace-period constant","Remove leftover naming inconsistencies, lock shared GRACE_PERIOD_SECONDS","2","Low","Sprint 2","requirements","Done"
"Sub-task","","Clean up stale terminology and lock grace-period constant","Sweep worksheet for stale storage-naming references","Sections 6, 8, 9 had leftover terms from the 3-location draft","","","Sprint 2","requirements","Done"
"Sub-task","","Clean up stale terminology and lock grace-period constant","Lock GRACE_PERIOD_SECONDS = 60 shared constant","Used both for order auto-confirm and QR close buffer","","","Sprint 2","requirements","Done"
"Task","Requirements","","Revert to 3 storage locations, switch thaw-prep to plate unit","Reintroduces the vegetable chiller and moves thaw-prep counting from kg to plates","5","High","Sprint 2","requirements","Done"
"Sub-task","","Revert to 3 storage locations, switch thaw-prep to plate unit","Reintroduce the vegetable chiller as a 3rd location","Vegetables get their own raw-storage location again","","","Sprint 2","requirements","Done"
"Sub-task","","Revert to 3 storage locations, switch thaw-prep to plate unit","Change thaw-prep counting unit from kg to plates","Matches how staff actually think about ready-to-serve stock","","","Sprint 2","requirements","Done"
"Sub-task","","Revert to 3 storage locations, switch thaw-prep to plate unit","Update UC-N7 race-condition SQL example to plate units","-1/>=1 instead of the old -100/>=100 gram example","","","Sprint 2","requirements","Done"
"Task","Requirements","","Lock account-creation and menu-customization scope","Owner creates staff/cashier accounts directly; menu customization is boolean cut-only","3","Medium","Sprint 3","requirements","Done"
